dataset,run_id,category,count
brewery,run-01,added_missing_artifact,59
brewery,run-01,domain_review,2
brewery,run-01,other,84
brewery,run-01,repaired_artifact,8
brewery,run-04,added_missing_artifact,54
brewery,run-04,other,74
brewery,run-04,repaired_artifact,9
brewery,run-06,added_missing_artifact,66
brewery,run-06,domain_review,1
brewery,run-06,other,86
brewery,run-06,repaired_artifact,12
camperplus,run-01,added_missing_artifact,93
camperplus,run-01,domain_review,2
camperplus,run-01,other,75
camperplus,run-01,repaired_artifact,8
camperplus,run-04,added_missing_artifact,93
camperplus,run-04,domain_review,2
camperplus,run-04,other,74
camperplus,run-04,repaired_artifact,7
camperplus,run-05,added_missing_artifact,94
camperplus,run-05,domain_review,2
camperplus,run-05,other,80
camperplus,run-05,repaired_artifact,10
education,run-01,added_missing_artifact,75
education,run-01,other,66
education,run-01,repaired_artifact,4
education,run-02,added_missing_artifact,87
education,run-02,other,83
education,run-02,repaired_artifact,3
education,run-03,added_missing_artifact,88
education,run-03,other,74
education,run-03,repaired_artifact,3
fish_chips,run-01,added_missing_artifact,80
fish_chips,run-01,other,87
fish_chips,run-01,repaired_artifact,10
fish_chips,run-04,added_missing_artifact,75
fish_chips,run-04,other,86
fish_chips,run-04,repaired_artifact,4
fish_chips,run-06,added_missing_artifact,87
fish_chips,run-06,other,78
fish_chips,run-06,repaired_artifact,10
grocery,run-01,added_missing_artifact,63
grocery,run-01,domain_review,2
grocery,run-01,other,85
grocery,run-01,repaired_artifact,6
grocery,run-04,added_missing_artifact,93
grocery,run-04,domain_review,2
grocery,run-04,other,81
grocery,run-04,repaired_artifact,3
grocery,run-05,added_missing_artifact,97
grocery,run-05,domain_review,2
grocery,run-05,other,86
grocery,run-05,repaired_artifact,11
cinema,run-01,added_missing_artifact,78
cinema,run-01,other,95
cinema,run-01,repaired_artifact,4
cinema,run-06,added_missing_artifact,78
cinema,run-06,other,91
cinema,run-06,repaired_artifact,3
cinema,run-07,added_missing_artifact,78
cinema,run-07,other,97
cinema,run-07,repaired_artifact,1
collaboration,run-01,added_missing_artifact,56
collaboration,run-01,domain_review,1
collaboration,run-01,other,88
collaboration,run-01,repaired_artifact,10
collaboration,run-04,added_missing_artifact,54
collaboration,run-04,domain_review,1
collaboration,run-04,other,91
collaboration,run-04,repaired_artifact,8
collaboration,run-05,added_missing_artifact,68
collaboration,run-05,domain_review,2
collaboration,run-05,other,82
collaboration,run-05,repaired_artifact,6
sports,run-01,added_missing_artifact,75
sports,run-01,domain_review,3
sports,run-01,dropped_low_relevance,1
sports,run-01,other,94
sports,run-01,repaired_artifact,8
sports,run-04,added_missing_artifact,78
sports,run-04,domain_review,2
sports,run-04,dropped_low_relevance,1
sports,run-04,other,95
sports,run-04,repaired_artifact,10
sports,run-05,added_missing_artifact,72
sports,run-05,domain_review,3
sports,run-05,other,92
sports,run-05,repaired_artifact,12
matching,run-01,added_missing_artifact,76
matching,run-01,other,103
matching,run-01,repaired_artifact,12
matching,run-04,added_missing_artifact,82
matching,run-04,other,102
matching,run-04,repaired_artifact,6
matching,run-05,added_missing_artifact,91
matching,run-05,other,98
matching,run-05,repaired_artifact,11
