dataset,run,ok,app_id,created_app_id,app_name,branch,working_copy_id,committed,failed_app_deleted,total_ms,domainModel_ms,security_ms,microflowsNanoflows_ms,workflows_ms,pages_ms,verification_ms,commit_ms,error
brewery,run-01,true,5fbe5cbc-a9c0-44f7-b937-172cfc3a4a1f,5fbe5cbc-a9c0-44f7-b937-172cfc3a4a1f,rerun-brewery-run01,main,834d264d-ca03-4ea6-bbd7-4d2f4e7b6441,true,false,23435,74,308,29,13,565,108,9438,
brewery,run-04,true,103fb0e5-f7ac-441b-b0b4-9931f6e0d44b,103fb0e5-f7ac-441b-b0b4-9931f6e0d44b,rerun-brewery-run04,main,ea5b923a-d450-455c-b27f-565f5321f11c,true,false,24193,57,329,23,9,515,91,11531,
brewery,run-06,true,e5440373-d25c-4d65-8d71-3bd25f2efbf8,e5440373-d25c-4d65-8d71-3bd25f2efbf8,rerun-brewery-run06,main,633d1551-1a7a-456b-a711-f1cce7d06716,true,false,21901,61,349,17,11,981,85,9463,
camperplus,run-01,true,56a3fd43-c2d2-4bf4-87a1-7159be58bbeb,56a3fd43-c2d2-4bf4-87a1-7159be58bbeb,rerun-camperplus-run01,main,10a3b8d0-349a-4a1e-a391-bda559347d27,true,false,22036,66,199,18,3,893,101,9948,
camperplus,run-04,true,95062400-8397-42af-8366-a80488f46c9f,95062400-8397-42af-8366-a80488f46c9f,rerun-camperplus-run04,main,50151e52-1776-4806-bc02-af83686bf311,true,false,21242,72,269,15,,458,98,8929,
camperplus,run-05,true,6d1c84da-0d90-4786-940f-2821788a985e,6d1c84da-0d90-4786-940f-2821788a985e,rerun-camperplus-run05,main,38a5d68f-4de6-424a-859f-6cea6e962ec9,true,false,23257,62,294,14,4,578,100,10994,
education,run-01,true,85eaa4ae-fec8-4a55-b620-738278708a2a,85eaa4ae-fec8-4a55-b620-738278708a2a,rerun-education-run01,main,28bcd9f5-f4b1-4388-bae6-15b50281afa6,true,false,21987,57,185,13,11,491,88,9920,
education,run-02,true,e655c1d2-dac5-43f2-96f4-c3fdbd7a74da,e655c1d2-dac5-43f2-96f4-c3fdbd7a74da,rerun-education-run02,main,f601c448-3618-4003-900f-dadd7ca8c8f8,true,false,22099,157,185,15,11,563,84,10421,
education,run-03,true,314ecb3e-e3ba-475a-b969-958055c8e6ce,314ecb3e-e3ba-475a-b969-958055c8e6ce,rerun-education-run03,main,7fb7d840-8e45-4ed2-bd5f-4f24cba204e2,true,false,22286,63,259,18,8,534,84,10054,
fish_chips,run-01,true,9043bd00-2ca9-4ed8-a56e-6cf28a7edf7d,9043bd00-2ca9-4ed8-a56e-6cf28a7edf7d,rerun-fish_chips-run01,main,e9c8fc1f-da9b-4126-ba54-0d04498a6bbf,true,false,21493,71,320,6,2,414,106,9952,
